Round,Date,Home Team,Home Result,Away Team,Away Result,Venue,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180721,Tigers,,Rabbitohs,,ANZ Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180721,Cowboys,,Dragons,,1300SMILES Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180722,Warriors,,Storm,,Mt Smart Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 19,20180722,Sea Eagles,,Roosters,,Lottoland,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180726,Broncos,,Sharks,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180727,Cowboys,,Knights,,1300SMILES Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180727,Bulldogs,,Tigers,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180728,Sea Eagles,,Panthers,,Lottoland,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180728,Rabbitohs,,Eels,,ANZ Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180728,Storm,,Raiders,,AAMI Park,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180729,Titans,,Warriors,,Cbus Super Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 20,20180729,Roosters,,Dragons,,Allianz Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180802,Bulldogs,,Broncos,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180803,Knights,,Tigers,,McDonald Jones Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180803,Rabbitohs,,Storm,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180804,Dragons,,Warriors,,WIN Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180804,Eels,,Titans,,ANZ Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180804,Roosters,,Cowboys,,Allianz Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180805,Sharks,,Sea Eagles,,Southern Cross Group Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 21,20180805,Panthers,,Raiders,,Panthers Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180809,Cowboys,,Broncos,,1300SMILES Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180810,Warriors,,Knights,,Mt Smart Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180810,Rabbitohs,,Roosters,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180811,Titans,,Panthers,,Cbus Super Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180811,Sea Eagles,,Bulldogs,,Lottoland,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180811,Eels,,Dragons,,ANZ Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180812,Raiders,,Tigers,,GIO Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 22,20180812,Storm,,Sharks,,AAMI Park,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180816,Broncos,,Rabbitohs,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180817,Sea Eagles,,Titans,,Lottoland,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180817,Storm,,Eels,,AAMI Park,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180818,Panthers,,Knights,,Panthers Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180818,Tigers,,Dragons,,Leichhardt Oval,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180818,Sharks,,Cowboys,,Southern Cross Group Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180819,Bulldogs,,Warriors,,ANZ Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 23,20180819,Raiders,,Roosters,,GIO Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180823,Tigers,,Sea Eagles,,Campbelltown Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180824,Warriors,,Panthers,,Mt Smart Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180824,Cowboys,,Eels,,1300SMILES Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180825,Raiders,,Rabbitohs,,GIO Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180825,Titans,,Storm,,Cbus Super Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180825,Roosters,,Broncos,,Allianz Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180826,Sharks,,Knights,,Southern Cross Group Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 24,20180826,Dragons,,Bulldogs,,UOW Jubilee Oval,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 25,20180830,Rabbitohs,,Tigers,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 25,20180831,Warriors,,Raiders,,Mt Smart Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
